phase,n_trials,n_success,success_rate_%
PHASE4,16,14.0,87.5
EARLY_PHASE1,7,6.0,85.7
PHASE3,71,57.0,80.3
PHASE2/PHASE3,9,7.0,77.8
PHASE1,180,133.0,73.9
PHASE2,231,162.0,70.1
PHASE1/PHASE2,80,54.0,67.5
