indication_group,n_trials,n_success,success_rate_%
CNS,15,13.0,86.7
Breast,81,60.0,74.1
Pan-Tumor,73,54.0,74.0
GI/Pancreatic,107,76.0,71.0
Other,756,492.0,65.1
GU (Prostate/Ovarian),83,53.0,63.9
Lung,69,43.0,62.3
Hematologic,202,121.0,59.9
HNSCC,33,18.0,54.5
